"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";
"7";"0";"RESISTOR0603-RES";"0603-RES";"R13, R14, R15, R16, R17, R21, R22";"Resistor";"";
"4";"0.1 uF";"CAP0402-CAP";"0402-CAP";"C14, C15, C17, C18";"Capacitor";"";
"1";"1 uF";"CAP0402-CAP";"0402-CAP";"C10";"Capacitor";"";
"1";"10 nF";"CAP0402-CAP";"0402-CAP";"C16";"Capacitor";"";
"2";"10 uF";"CAP0402-CAP";"0402-CAP";"C13, C19";"Capacitor";"";
"7";"100 nF";"CAP0402-CAP";"0402-CAP";"C1, C2, C3, C4, C5, C7, C9";"Capacitor";"";
"1";"100 pF";"CAP0402-CAP";"0402-CAP";"C26";"Capacitor";"";
"1";"100 uF";"CAP0805";"0805";"C20";"Capacitor";"";
"1";"100k";"RESISTOR0402-RES";"0402-RES";"R1";"Resistor";"";
"5";"10k";"RESISTOR0402-RES";"0402-RES";"R6, R7, R8, R9, R12";"Resistor";"";
"2";"12 pF";"CAP0402-CAP";"0402-CAP";"C11, C12";"Capacitor";"";
"3";"180";"RESISTOR0402-RES";"0402-RES";"R4, R5, R10";"Resistor";"";
"1";"1k";"RESISTOR0402-RES";"0402-RES";"R11";"Resistor";"";
"2";"22 uF";"CAP0402-CAP";"0402-CAP";"C6, C8";"Capacitor";"";
"3";"3.3k";"RESISTOR0402-RES";"0402-RES";"R2, R3, R19";"Resistor";"";
"1";"331";"RESISTOR0402-RES";"0402-RES";"R20";"Resistor";"";
"1";"47uH";"INDUCTOR0402";"C0402";"L3";"Inductors";"";
"1";"5.6 nH";"INDUCTOR0603";"0603";"L2";"Inductors";"";
"1";"6.8 uH";"INDUCTOR0402";"C0402";"L1";"Inductors";"";
"1";"68 uF";"CAP1206";"1206";"C21";"Capacitor";"";
"2";"734120110";"734120110";"734120110";"COAX, COAX1";"MICRO COAXIAL CONNECTOR RECEPTACLE VERTICAL";"";
"2";"ALTA_CELL";"ALTA_CELL";"ALTA_CELL";"FRONT_PANEL, REAR_PANEL";"";"";
"1";"BLUE";"LED0603";"LED-0603";"LED3";"LEDs";"";
"1";"CC1310";"CC1310";"CC1310";"MICROCONTROLLER";"CC1310 RGZ48 package";"";
"1";"FC-135";"FC-135";"FC-135";"32.768";"FC-135 32.768KA-AG0";"";
"1";"GREEN";"LED0603";"LED-0603";"LED2";"LEDs";"";
"1";"HDMID";"HDMID";"HDMID";"U$1";"";"";
"1";"JOHANSON_BALUN";"JOHANSON_BALUN";"JOHANSON_BALUN";"BALUN";"";"";
"1";"JOHANSON_GPS_CHIP";"JOHANSON_GPS_CHIP";"JOHANSON_GPS_CHIP";"U$5";"";"";
"2";"LIGHTSENSORALS";"LIGHTSENSORALS";"ALS-PT19";"LS1, LS2";"Ambient Light Sensor";"IC-11836";
"1";"LSM9DS1";"LSM9DS1";"LGA24-8X4";"IMU";"LSM9DS1 3D accelerometer, gyroscope & magnetometer";"IC-12536";
"1";"LV8417CS";"LV8417CS";"LV8417CS";"U$2";"";"";
"1";"MBRA140";"DIODESOD";"SOD-323";"D1";"Diode";"";
"1";"NCP1402";"V_REG_NCP1400SOT23-5";"SOT23-5";"U1";"Switching step-up voltage regulator";"";
"1";"PANASONIC_RECTIFIER";"PANASONIC_RECTIFIER";"PANASONIC_RECTIFIER";"U$4";"";"";
"1";"PCB_ANTENNA";"PCB_ANTENNA";"PCB_ANTENNA";"U$6";"";"";
"1";"RED";"LED0603";"LED-0603";"LED1";"LEDs";"";
"1";"TSX-3225";"TSX-3225";"TSX-3225";"SER3635CT-ND";"";"";
"1";"VENUS838FLPX";"VENUS838FLPX";"VENUS838FLPX";"GPS";"Venus838FLPx-L";"";
